Type,Variable,,"Cluster 1
(n=156)","Cluster 2
(n=43)","Cluster 3
(n=11)",p-value
,,Sleman - n (%),69 (44.23),18 (41.86),4 (36.36),>0.05
,,Kulon Progo - n (%),5 (3.21),5 (11.63),0 (0.00),>0.05
,,Gunung Kidul - n (%),16 (10.26),3 (6.98),0 (0.00),>0.05
,Area,Urban - n (%),33 (21.15),9 (20.93),6 (54.55),>0.05
,,Rural - n (%),123 (78.85),34 (79.07),5 (45.45),>0.05
,Age at data collection (year),Avg. (95% CI),"48.00 (45.72, 50.29)","38.55 (34.13, 42.96)","40.03 (31.86, 48.20)",<0.001
,Sex,Male - n (%),67 (42.95),12 (27.91),1 (9.09),0.020
,,Female - n (%),89 (57.05),31 (72.09),10 (90.91),0.020
,Educational status,College - n (%),90 (57.69),29 (67.44),8 (72.73),>0.05
,,Senior High School - n (%),40 (25.64),10 (23.26),1 (9.09),>0.05
,,Primary/Junior High School - n (%),23 (14.74),4 (9.30),0 (0.00),>0.05
,,Never school - n (%),3 (1.92),0 (0.00),2 (18.18),>0.05
,Marital status,Unmarried - n (%),17 (10.90),14 (32.56),4 (36.36),0.015
,,Married - n (%),124 (79.49),27 (62.79),7 (63.64),0.015
,,Widowed - n (%),10 (6.41),2 (4.65),0 (0.00),0.015
,,Divorced - n (%),5 (3.21),0 (0.00),0 (0.00),0.015
,Occupational status,Unemployed - n (%),39 (25.00),8 (18.60),1 (9.09),0.009
,,Student - n (%),4 (2.56),3 (6.98),0 (0.00),0.009
,,Public servant - n (%),41 (26.28),6 (13.95),0 (0.00),0.009
,,White-collar employee - n (%),32 (20.51),12 (27.91),3 (27.27),0.009
,,Blue-collar employee - n (%),7 (4.49),0 (0.00),0 (0.00),0.009
,,Self-employee - n (%),20 (12.82),4 (9.30),2 (18.18),0.009
,,Other occupation - n (%),13 (8.33),10 (23.26),5 (45.45),0.009
,Body weight (kg),Avg. (95% CI),"63.05 (61.25, 64.85)","61.14 (57.18, 65.10)","67.82 (57.32, 78.31)",>0.05
,Body height (cm),Avg. (95% CI),"161.03 (159.96, 162.10)","158.60 (156.78, 160.43)","154.00 (150.20, 157.80)",<0.001
,Cigarette smoking status,0 - n (%),143 (91.67),38 (88.37),10 (90.91),>0.05
,,1 - n (%),13 (8.33),5 (11.63),1 (9.09),>0.05
,SBQ-LC interviewer,1 - n (%),25 (16.03),11 (25.58),5 (45.45),<0.001
,,2 - n (%),46 (29.49),11 (25.58),3 (27.27),<0.001
,,4 - n (%),40 (25.64),0 (0.00),0 (0.00),<0.001
,,5 - n (%),4 (2.56),0 (0.00),0 (0.00),<0.001
,,6 - n (%),41 (26.28),21 (48.84),3 (27.27),<0.001
,MoCA-INA interviewer,1 - n (%),25 (16.03),11 (25.58),5 (45.45),<0.001
,,2 - n (%),46 (29.49),11 (25.58),3 (27.27),<0.001
,,3 - n (%),1 (0.64),0 (0.00),0 (0.00),<0.001
,,4 - n (%),40 (25.64),0 (0.00),0 (0.00),<0.001
,,5 - n (%),4 (2.56),0 (0.00),0 (0.00),<0.001
,,6 - n (%),40 (25.64),21 (48.84),3 (27.27),<0.001
,Body mass index classification,Underweight - n (%),10 (6.41),4 (9.30),0 (0.00),>0.05
,,Normal - n (%),79 (50.64),22 (51.16),4 (36.36),>0.05
,,Overweight - n (%),47 (30.13),10 (23.26),4 (36.36),>0.05
,,Obesity - n (%),19 (12.18),7 (16.28),3 (27.27),>0.05
