Type,Variable,,"Batch 1
(n=90)","Batch 2
(n=210)",p-value
,COVID-19 vaccine completed dose,0 - n (%),24 (26.67),17 (8.10),<0.001
,,1 - n (%),2 (2.22),7 (3.33),<0.001
,,2 - n (%),21 (23.33),48 (22.86),<0.001
,,3 - n (%),29 (32.22),84 (40.00),<0.001
,,4 - n (%),14 (15.56),54 (25.71),<0.001
Memory-dependent covariate,Previous COVID-19 infection,1 - n (%),78 (86.67),183 (87.14),>0.05
,,2 - n (%),8 (8.89),22 (10.48),>0.05
,,3 - n (%),4 (4.44),3 (1.43),>0.05
,,4 - n (%),0 (0.00),2 (0.95),>0.05
,Length of stay,0 - n (%),15 (16.67),167 (79.52),<0.001
,,>0 - Med. (min.-max.),"6.00 (1.00, 56.00)","7.00 (1.00, 20.00)",<0.001
,Age at COVID-19 diagnosis (year),Avg. (95% CI),"50.21 (46.36, 54.06)","44.19 (41.83, 46.56)",0.010
,Cigarette smoking duration,0 - n (%),83 (92.22),178 (84.76),>0.05
,,>0 - Med. (min.-max.),"29.00 (10.00, 30.00)","15.00 (1.00, 48.00)",>0.05
,Chronic obstructive pulmonary disease at COVID-19 diagnosis,0 - n (%),82 (91.11),189 (90.00),>0.05
,,1 - n (%),8 (8.89),21 (10.00),>0.05
,Cardiovascular diseases at COVID-19 diagnosis,0 - n (%),81 (90.00),186 (88.57),>0.05
,,1 - n (%),9 (10.00),24 (11.43),>0.05
,Depression at COVID-19 diagnosis,0 - n (%),90 (100.00),204 (97.14),>0.05
,,1 - n (%),0 (0.00),6 (2.86),>0.05
,Diabetes mellitus at COVID-19 diagnosis,0 - n (%),74 (82.22),185 (88.10),>0.05
,,1 - n (%),16 (17.78),25 (11.90),>0.05
,Dyslipidemia at COVID-19 diagnosis,0 - n (%),79 (87.78),196 (93.33),>0.05
,,1 - n (%),11 (12.22),14 (6.67),>0.05
,Hypertension at COVID-19 diagnosis,0 - n (%),65 (72.22),170 (80.95),>0.05
,,1 - n (%),25 (27.78),40 (19.05),>0.05
,Obesity at COVID-19 diagnosis,0 - n (%),87 (96.67),194 (92.38),>0.05
,,1 - n (%),3 (3.33),16 (7.62),>0.05
,Stroke at COVID-19 diagnosis,0 - n (%),86 (95.56),206 (98.10),>0.05
,,1 - n (%),4 (4.44),4 (1.90),>0.05
,Other comorbidities at COVID-19 diagnosis,0 - n (%),64 (71.11),174 (82.86),0.029
,,1 - n (%),26 (28.89),36 (17.14),0.029
,Body ache at COVID-19 diagnosis,0 - n (%),59 (65.56),100 (47.62),0.005
,,1 - n (%),31 (34.44),110 (52.38),0.005
,Cough at COVID-19 diagnosis,0 - n (%),44 (48.89),60 (28.57),<0.001
,,1 - n (%),46 (51.11),150 (71.43),<0.001
,Diarrhea at COVID-19 diagnosis,0 - n (%),84 (93.33),183 (87.14),>0.05
,,1 - n (%),6 (6.67),27 (12.86),>0.05
,Dyspnea at COVID-19 diagnosis,0 - n (%),63 (70.00),141 (67.14),>0.05
,,1 - n (%),27 (30.00),69 (32.86),>0.05
,Fever at COVID-19 diagnosis,0 - n (%),55 (61.11),59 (28.10),<0.001
,,1 - n (%),35 (38.89),151 (71.90),<0.001
,Loss of smell at COVID-19 diagnosis,0 - n (%),62 (68.89),117 (55.71),0.040
,,1 - n (%),28 (31.11),93 (44.29),0.040
,Nausea/vomiting at COVID-19 diagnosis,0 - n (%),78 (86.67),159 (75.71),0.044
,,1 - n (%),12 (13.33),51 (24.29),0.044
,Sore throat at COVID-19 diagnosis,0 - n (%),72 (80.00),139 (66.19),0.019
,,1 - n (%),18 (20.00),71 (33.81),0.019
,Other symptoms at COVID-19 diagnosis,0 - n (%),72 (80.00),167 (79.52),>0.05
,,1 - n (%),18 (20.00),43 (20.48),>0.05
Memory-independent covariate,City/regency,Yogyakarta - n (%),13 (14.44),31 (14.76),>0.05
,,Bantul - n (%),24 (26.67),59 (28.10),>0.05
,,Sleman - n (%),47 (52.22),91 (43.33),>0.05
,,Kulon Progo - n (%),3 (3.33),10 (4.76),>0.05
,,Gunung Kidul - n (%),3 (3.33),19 (9.05),>0.05
,Area,Urban - n (%),21 (23.33),48 (22.86),>0.05
,,Rural - n (%),69 (76.67),162 (77.14),>0.05
,Age at data collection (year),Avg. (95% CI),"50.15 (46.89, 53.42)","45.65 (43.61, 47.69)",0.023
,Sex,Male - n (%),34 (37.78),80 (38.10),>0.05
,,Female - n (%),56 (62.22),130 (61.90),>0.05
,Educational status,College - n (%),46 (51.11),127 (60.48),>0.05
,,Senior High School - n (%),27 (30.00),51 (24.29),>0.05
,,Primary/Junior High School - n (%),15 (16.67),27 (12.86),>0.05
,,Never school - n (%),2 (2.22),5 (2.38),>0.05
,Marital status,Unmarried - n (%),2 (2.22),35 (16.67),<0.001
,,Married - n (%),81 (90.00),158 (75.24),<0.001
,,Widowed - n (%),6 (6.67),12 (5.71),<0.001
,,Divorced - n (%),1 (1.11),5 (2.38),<0.001
,Occupational status,Unemployed - n (%),36 (40.00),48 (22.86),>0.05
,,Student - n (%),0 (0.00),7 (3.33),>0.05
,,Public servant - n (%),16 (17.78),47 (22.38),>0.05
,,White-collar employee - n (%),19 (21.11),47 (22.38),>0.05
,,Blue-collar employee - n (%),1 (1.11),7 (3.33),>0.05
,,Self-employee - n (%),11 (12.22),26 (12.38),>0.05
,,Other occupation - n (%),7 (7.78),28 (13.33),>0.05
,Body weight (kg),Avg. (95% CI),"60.57 (57.96, 63.19)","62.92 (61.27, 64.58)",>0.05
,Body height (cm),Avg. (95% CI),"158.61 (157.07, 160.16)","160.16 (159.23, 161.09)",>0.05
,Cigarette smoking status,0 - n (%),87 (96.67),191 (90.95),>0.05
,,1 - n (%),3 (3.33),19 (9.05),>0.05
,SBQ-LC interviewer,1 - n (%),26 (28.89),41 (19.52),<0.001
,,2 - n (%),12 (13.33),60 (28.57),<0.001
,,4 - n (%),30 (33.33),40 (19.05),<0.001
,,5 - n (%),10 (11.11),4 (1.90),<0.001
,,6 - n (%),12 (13.33),65 (30.95),<0.001
,MoCA-INA interviewer,1 - n (%),26 (28.89),41 (19.52),<0.001
,,2 - n (%),12 (13.33),60 (28.57),<0.001
,,3 - n (%),0 (0.00),1 (0.48),<0.001
,,4 - n (%),30 (33.33),40 (19.05),<0.001
,,5 - n (%),10 (11.11),4 (1.90),<0.001
,,6 - n (%),12 (13.33),64 (30.48),<0.001
