Type,Variable,,"Ci negative
(n=169)","Ci positive
(n=131)",p-value
,Cardiovascular diseases at COVID-19 diagnosis,0 - n (%),156 (92.31),111 (84.73),0.042
,,1 - n (%),13 (7.69),20 (15.27),0.042
,Depression at COVID-19 diagnosis,0 - n (%),166 (98.22),128 (97.71),>0.05
,,1 - n (%),3 (1.78),3 (2.29),>0.05
,Diabetes mellitus at COVID-19 diagnosis,0 - n (%),157 (92.90),102 (77.86),<0.001
,,1 - n (%),12 (7.10),29 (22.14),<0.001
,Dyslipidemia at COVID-19 diagnosis,0 - n (%),156 (92.31),119 (90.84),>0.05
,,1 - n (%),13 (7.69),12 (9.16),>0.05
,Hypertension at COVID-19 diagnosis,0 - n (%),143 (84.62),92 (70.23),0.003
,,1 - n (%),26 (15.38),39 (29.77),0.003
,Obesity at COVID-19 diagnosis,0 - n (%),155 (91.72),126 (96.18),>0.05
,,1 - n (%),14 (8.28),5 (3.82),>0.05
,Stroke at COVID-19 diagnosis,0 - n (%),167 (98.82),125 (95.42),>0.05
,,1 - n (%),2 (1.18),6 (4.58),>0.05
,Other comorbidities at COVID-19 diagnosis,0 - n (%),135 (79.88),103 (78.63),>0.05
,,1 - n (%),34 (20.12),28 (21.37),>0.05
,Body ache at COVID-19 diagnosis,0 - n (%),84 (49.70),75 (57.25),>0.05
,,1 - n (%),85 (50.30),56 (42.75),>0.05
,Cough at COVID-19 diagnosis,0 - n (%),55 (32.54),49 (37.40),>0.05
,,1 - n (%),114 (67.46),82 (62.60),>0.05
,Diarrhea at COVID-19 diagnosis,0 - n (%),148 (87.57),119 (90.84),>0.05
,,1 - n (%),21 (12.43),12 (9.16),>0.05
,Dyspnea at COVID-19 diagnosis,0 - n (%),118 (69.82),86 (65.65),>0.05
,,1 - n (%),51 (30.18),45 (34.35),>0.05
,Fever at COVID-19 diagnosis,0 - n (%),60 (35.50),54 (41.22),>0.05
,,1 - n (%),109 (64.50),77 (58.78),>0.05
,Loss of smell at COVID-19 diagnosis,0 - n (%),98 (57.99),81 (61.83),>0.05
,,1 - n (%),71 (42.01),50 (38.17),>0.05
,Nausea/vomiting at COVID-19 diagnosis,0 - n (%),132 (78.11),105 (80.15),>0.05
,,1 - n (%),37 (21.89),26 (19.85),>0.05
,Sore throat at COVID-19 diagnosis,0 - n (%),107 (63.31),104 (79.39),0.003
,,1 - n (%),62 (36.69),27 (20.61),0.003
,Other symptoms at COVID-19 diagnosis,0 - n (%),126 (74.56),113 (86.26),0.014
,,1 - n (%),43 (25.44),18 (13.74),0.014
